Time Series,Target Value,Predicted Value,Accuracy,Average Accuracy
20210101,26312.5,27500.0,95.48693586698337,89.68
20210201,25187.5,22798.1,90.51354838709676,
20210301,25000.0,23150.0,92.60000000000001,
20210401,25000.0,23150.0,92.60000000000001,
20210501,24750.0,23263.72,93.9948282828283,
20210601,23300.0,23375.0,99.67811158798283,
20210701,23000.0,23150.0,99.34782608695653,
20210801,22875.0,24061.94,94.81119125683061,
20210901,26350.0,24061.94,91.31666034155597,
20211001,27312.5,24061.94,88.0986361556064,
20211101,23750.0,23550.0,99.1578947368421,
20211201,22750.0,22798.1,99.78857142857144,
20220101,21375.0,23375.0,90.64327485380117,
20220201,22437.5,23375.0,95.82172701949861,
20220301,23000.0,22798.1,99.12217391304348,
20220401,22500.0,22798.1,98.67511111111111,
20220501,22500.0,22798.1,98.67511111111111,
20220601,22900.0,27063.42,81.81912663755459,
20220701,29562.5,27063.42,91.54645243128964,
20220801,43250.0,32600.0,75.37572254335261,
20220901,48187.5,41090.56,85.27223865110246,
20221001,53062.5,45441.07,85.63688103651354,
20221101,50600.0,62642.4,76.200790513834,
20221201,46625.0,45613.78,97.831163538874,
20230101,45750.0,50875.0,88.79781420765028,
20230201,57650.0,60000.0,95.92367736339983,
20230301,52062.5,62642.4,79.67846338535414,
20230401,43875.0,45480.75,96.34017094017095,
20230501,44150.0,37631.62,85.23583238958098,
20230601,44375.0,37631.62,84.80365070422535,
20230701,47062.5,37631.62,79.96094555112883,
20230801,49000.0,45441.07,92.7368775510204,
20230901,46875.0,57054.88,78.28292266666668,
20231001,51250.0,37631.62,73.4275512195122,
20231101,50000.0,58119.17,83.76166,
20231201,50250.0,62642.4,75.33850746268656,
