Time Series,Actual Value,Predicted Value,Accuracy,Average Accuracy
20210101,34.3565,36.069,95.02,44.27
20210201,35.06044,34.7,98.97,
20210301,35.443,43.15,78.26,
20210401,36.02158,34.7,96.33,
20210501,33.595,42.09191,74.71,
20210601,34.24591,44.61952,69.71,
20210701,33.07905,34.7,95.1,
20210801,37.63909,36.069,95.83,
20210901,44.65048,34.7,77.71,
20211001,44.98773,38.6505,85.91,
20211101,41.28389,42.27091,97.61,
20211201,37.4685,34.7,92.61,
20220101,36.4,44.61952,77.42,
20220201,44.60348,34.7,77.8,
20220301,56.82632,41.9305,73.79,
20220401,44.53952,117.36909,-63.52,
20220501,48.283,46.28174,95.86,
20220601,59.55857,117.36909,2.94,
20220701,69.87409,117.36909,32.03,
20220801,86.73191,117.36909,64.68,
20220901,94.95143,47.406,49.93,
20221001,111.50364,102.05,91.52,
20221101,78.40765,90.41,84.69,
20221201,51.18476,117.36909,-29.3,
20230101,61.715,129.07696,-9.15,
20230201,85.43913,117.36909,62.63,
20230301,62.91632,47.406,75.35,
20230401,45.11591,117.36909,-60.15,
20230501,61.04773,117.36909,7.74,
20230601,53.28286,117.36909,-20.28,
20230701,49.52261,129.07696,-60.64,
20230801,47.10048,117.36909,-49.19,
20230901,55.81955,117.36909,-10.27,
20231001,69.61046,129.07696,14.57,
20231101,60.9375,117.36909,7.39,
20231201,65.18682,117.36909,19.95,
