Time Series,Actual Value,Predicted Value,Accuracy,Average Accuracy
20210101,4.24641,5.63,67.42,79.45
20210201,4.37636,5.63,71.35,
20210301,4.35703,4.7625,90.69,
20210401,4.35543,4.64,93.47,
20210501,4.08352,4.7625,83.37,
20210601,4.01159,4.65,84.09,
20210701,3.97068,4.59,84.4,
20210801,4.4206,4.91,88.93,
20210901,5.40433,4.49,83.08,
20211001,5.42632,5.08,93.62,
20211101,4.84896,8.09306,33.1,
20211201,4.6897,8.09306,27.43,
20220101,4.62266,5.65,77.78,
20220201,5.48315,5.9,92.4,
20220301,6.79605,8.09306,80.92,
20220401,5.29152,6.36,79.81,
20220501,5.73341,6.22936,91.35,
20220601,7.07679,6.48,91.57,
20220701,8.11634,12.56566,45.18,
20220801,9.55387,12.56566,68.48,
20220901,10.8214,12.56566,83.88,
20221001,13.60838,12.56566,92.34,
20221101,9.98419,8.51,85.23,
20221201,8.18021,8.51,95.97,
20230101,8.66229,8.51,98.24,
20230201,11.28442,8.51,75.41,
20230301,8.93158,8.51,95.28,
20230401,7.04217,8.51,79.16,
20230501,8.83333,8.51,96.34,
20230601,7.91606,6.35129,80.23,
20230701,7.85121,8.51,91.61,
20230801,7.60562,6.35129,83.51,
20230901,8.99194,6.35129,70.63,
20231001,10.09995,6.35129,62.88,
20231101,8.80205,6.35129,72.16,
20231201,9.22828,6.35129,68.82,
