Time Series,Actual Value,Predicted Value,Accuracy,Average Accuracy
20210101,89.49999999999999,85.99999999999999,96.09,96.47
20210201,90.5,92.5,97.79,
20210301,93.0,92.5,99.46,
20210401,95.0,93.0,97.89,
20210501,97.5,93.0,95.38,
20210601,101.5,98.0,96.55,
20210701,103.5,115.0,88.89,
20210801,107.0,115.0,92.52,
20210901,108.0,115.0,93.52,
20211001,109.0,115.0,94.5,
20211101,112.0,115.0,97.32,
20211201,114.0,115.0,99.12,
20220101,115.0,115.0,100.0,
20220201,115.0,115.0,100.0,
20220301,116.0,115.0,99.14,
20220401,117.0,115.0,98.29,
20220501,117.5,115.0,97.87,
20220601,119.0,115.0,96.64,
20220701,120.0,115.0,95.83,
20220801,120.0,115.0,95.83,
20220901,120.0,115.0,95.83,
20221001,120.0,129.11666666666667,92.4,
20221101,120.0,129.11666666666667,92.4,
20221201,120.0,129.11666666666667,92.4,
20230101,120.0,129.11666666666667,92.4,
20230201,120.0,127.0,94.17,
20230301,122.0,129.11666666666667,94.17,
20230401,126.0,129.11666666666667,97.53,
20230501,126.0,129.11666666666667,97.53,
20230601,126.0,128.0,98.41,
20230701,126.0,129.11666666666667,97.53,
20230801,128.0,129.11666666666667,99.13,
20230901,128.0,129.11666666666667,99.13,
20231001,128.0,129.11666666666667,99.13,
20231101,128.0,129.11666666666667,99.13,
20231201,128.0,129.11666666666667,99.13,
